경찰청,경찰서,시간대,건수
충청북도경찰청,옥천경찰서,1,5
충청북도경찰청,단양경찰서,1,2
충청북도경찰청,진천경찰서,1,26
충청북도경찰청,청주흥덕경찰서,1,104
충청북도경찰청,청주상당경찰서,1,61
충청남도경찰청,서산경찰서,1,42
충청남도경찰청,천안서북경찰서,1,136
충청남도경찰청,논산경찰서,1,18
충청남도경찰청,홍성경찰서,1,20
충청남도경찰청,아산경찰서,1,105
충청남도경찰청,서천경찰서,1,2
충청남도경찰청,보령경찰서,1,24
충청남도경찰청,공주경찰서,1,35
충청남도경찰청,예산경찰서,1,17
충청남도경찰청,부여경찰서,1,7
충청남도경찰청,당진경찰서,1,46
충청남도경찰청,금산경찰서,1,5
충청남도경찰청,청양경찰서,1,7
충청남도경찰청,천안동남경찰서,1,78
충청남도경찰청,태안경찰서,1,11
전북특별자치도경찰청,전주완산경찰서,1,66
전북특별자치도경찰청,전주덕진경찰서,1,52
전북특별자치도경찰청,군산경찰서,1,45
전북특별자치도경찰청,익산경찰서,1,35
전북특별자치도경찰청,정읍경찰서,1,13
전북특별자치도경찰청,김제경찰서,1,12
전북특별자치도경찰청,남원경찰서,1,10
전북특별자치도경찰청,고창경찰서,1,4
전북특별자치도경찰청,부안경찰서,1,3
전북특별자치도경찰청,임실경찰서,1,1
전북특별자치도경찰청,진안경찰서,1,2
전북특별자치도경찰청,순창경찰서,1,2
전북특별자치도경찰청,장수경찰서,1,6
전북특별자치도경찰청,무주경찰서,1,5
전북특별자치도경찰청,완주경찰서,1,21
전라남도경찰청,목포경찰서,1,64
전라남도경찰청,여수경찰서,1,61
전라남도경찰청,순천경찰서,1,47
전라남도경찰청,나주경찰서,1,28
전라남도경찰청,장흥경찰서,1,6
전라남도경찰청,고흥경찰서,1,8
전라남도경찰청,해남경찰서,1,20
전라남도경찰청,보성경찰서,1,5
전라남도경찰청,영광경찰서,1,4
전라남도경찰청,화순경찰서,1,7
전라남도경찰청,함평경찰서,1,3
전라남도경찰청,영암경찰서,1,14
전라남도경찰청,장성경찰서,1,4
전라남도경찰청,강진경찰서,1,5
전라남도경찰청,담양경찰서,1,24
전라남도경찰청,곡성경찰서,1,3
전라남도경찰청,완도경찰서,1,6
전라남도경찰청,무안경찰서,1,13
전라남도경찰청,진도경찰서,1,6
전라남도경찰청,광양경찰서,1,35
전라남도경찰청,구례경찰서,1,3
경상북도경찰청,경주경찰서,1,55
경상북도경찰청,포항북부경찰서,1,73
경상북도경찰청,안동경찰서,1,33
경상북도경찰청,김천경찰서,1,33
경상북도경찰청,상주경찰서,1,16
경상북도경찰청,의성경찰서,1,5
경상북도경찰청,영주경찰서,1,16
경상북도경찰청,칠곡경찰서,1,53
경상북도경찰청,영천경찰서,1,16
경상북도경찰청,문경경찰서,1,15
경상북도경찰청,경산경찰서,1,62
경상북도경찰청,영덕경찰서,1,8
경상북도경찰청,예천경찰서,1,8
경상북도경찰청,봉화경찰서,1,4
경상북도경찰청,청도경찰서,1,4
경상북도경찰청,성주경찰서,1,5
경상북도경찰청,울진경찰서,1,10
경상북도경찰청,고령경찰서,1,4
경상북도경찰청,대구군위경찰서,1,2
경상북도경찰청,청송경찰서,1,3
경상북도경찰청,영양경찰서,1,1
경상북도경찰청,울릉경찰서,1,1
경상북도경찰청,구미경찰서,1,137
경상북도경찰청,포항남부경찰서,1,37
경상남도경찰청,마산중부경찰서,1,15
경상남도경찰청,진주경찰서,1,50
경상남도경찰청,진해경찰서,1,38
경상남도경찰청,통영경찰서,1,32
경상남도경찰청,사천경찰서,1,11
경상남도경찰청,밀양경찰서,1,15
경상남도경찰청,김해중부경찰서,1,54
경상남도경찰청,거창경찰서,1,13
경상남도경찰청,합천경찰서,1,6
경상남도경찰청,창녕경찰서,1,11
경상남도경찰청,함양경찰서,1,1
경상남도경찰청,양산경찰서,1,63
경상남도경찰청,경남고성경찰서,1,10
경상남도경찰청,하동경찰서,1,2
경상남도경찰청,거제경찰서,1,68
경상남도경찰청,남해경찰서,1,5
경상남도경찰청,산청경찰서,1,1
경상남도경찰청,함안경찰서,1,11
경상남도경찰청,의령경찰서,1,3
경상남도경찰청,창원중부경찰서,1,51
경상남도경찰청,마산동부경찰서,1,34
경상남도경찰청,창원서부경찰서,1,39
경상남도경찰청,김해서부경찰서,1,47
제주특별자치도경찰청,제주동부경찰서,1,50
제주특별자치도경찰청,서귀포경찰서,1,45
제주특별자치도경찰청,제주서부경찰서,1,66
대구광역시경찰청,대구남부경찰서,1,20
대구광역시경찰청,대구동부경찰서,1,54
대구광역시경찰청,대구수성경찰서,1,92
대구광역시경찰청,대구달서경찰서,1,48
대구광역시경찰청,대구달성경찰서,1,27
대구광역시경찰청,대구북부경찰서,1,33
대구광역시경찰청,대구서부경찰서,1,28
대구광역시경찰청,대구중부경찰서,1,49
대구광역시경찰청,대구성서경찰서,1,106
대구광역시경찰청,대구강북경찰서,1,32
인천광역시경찰청,인천중부경찰서,1,32
인천광역시경찰청,인천미추홀경찰서,1,68
인천광역시경찰청,인천부평경찰서,1,40
인천광역시경찰청,인천남동경찰서,1,110
인천광역시경찰청,인천서부경찰서,1,152
인천광역시경찰청,인천계양경찰서,1,48
인천광역시경찰청,인천강화경찰서,1,11
인천광역시경찰청,인천연수경찰서,1,46
인천광역시경찰청,인천삼산경찰서,1,47
인천광역시경찰청,인천논현경찰서,1,57
광주광역시경찰청,광주동부경찰서,1,19
광주광역시경찰청,광주서부경찰서,1,84
광주광역시경찰청,광주남부경찰서,1,64
광주광역시경찰청,광주북부경찰서,1,56
광주광역시경찰청,광주광산경찰서,1,82
대전광역시경찰청,대전중부경찰서,1,32
대전광역시경찰청,대전동부경찰서,1,33
대전광역시경찰청,대전서부경찰서,1,44
대전광역시경찰청,대전대덕경찰서,1,22
대전광역시경찰청,대전둔산경찰서,1,25
